objectid,servicetype,latitude,longitude,address,datecreated,datemodified,status,description,estimatedresolution
1058,flooding,32.3687,-86.2722,"180 Main St, Montgomery, AL",2026-02-10T11:50:38.641767,2026-02-11T11:50:38.641770,open,Sample 311 request 58,2
1059,overgrown_grass,32.3697,-86.27120000000001,"181 Main St, Montgomery, AL",2026-02-09T11:50:38.641774,2026-02-10T11:50:38.641776,in_progress,Sample 311 request 59,3
1060,other,32.3707,-86.2702,"182 Main St, Montgomery, AL",2026-02-08T11:50:38.641779,2026-02-09T11:50:38.641782,closed,Sample 311 request 60,4
1061,pothole,32.3617,-86.2792,"183 Main St, Montgomery, AL",2026-03-09T11:50:38.641785,2026-03-10T11:50:38.641787,open,Sample 311 request 61,5
1062,graffiti,32.3627,-86.2782,"184 Main St, Montgomery, AL",2026-03-08T11:50:38.641791,2026-03-09T11:50:38.641793,in_progress,Sample 311 request 62,6
1063,trash,32.3637,-86.27720000000001,"185 Main St, Montgomery, AL",2026-03-07T11:50:38.641796,2026-03-08T11:50:38.641799,closed,Sample 311 request 63,7
1064,flooding,32.3647,-86.2762,"186 Main St, Montgomery, AL",2026-03-06T11:50:38.641802,2026-03-07T11:50:38.641805,open,Sample 311 request 64,1
1065,overgrown_grass,32.3657,-86.2752,"187 Main St, Montgomery, AL",2026-03-05T11:50:38.641808,2026-03-06T11:50:38.641810,in_progress,Sample 311 request 65,2
1066,other,32.3667,-86.27420000000001,"188 Main St, Montgomery, AL",2026-03-04T11:50:38.641814,2026-03-05T11:50:38.641816,closed,Sample 311 request 66,3
1067,pothole,32.3677,-86.2732,"189 Main St, Montgomery, AL",2026-03-03T11:50:38.641823,2026-03-04T11:50:38.641826,open,Sample 311 request 67,4
1068,graffiti,32.3687,-86.2722,"190 Main St, Montgomery, AL",2026-03-02T11:50:38.641830,2026-03-03T11:50:38.641832,in_progress,Sample 311 request 68,5
1069,trash,32.3697,-86.27120000000001,"191 Main St, Montgomery, AL",2026-03-01T11:50:38.641835,2026-03-02T11:50:38.641838,closed,Sample 311 request 69,6
1070,flooding,32.3707,-86.2702,"192 Main St, Montgomery, AL",2026-02-28T11:50:38.641841,2026-03-01T11:50:38.641844,open,Sample 311 request 70,7
1071,overgrown_grass,32.3617,-86.2792,"193 Main St, Montgomery, AL",2026-02-27T11:50:38.641847,2026-02-28T11:50:38.641849,in_progress,Sample 311 request 71,1
1072,other,32.3627,-86.2782,"194 Main St, Montgomery, AL",2026-02-26T11:50:38.641856,2026-02-27T11:50:38.641858,closed,Sample 311 request 72,2
1073,pothole,32.3637,-86.27720000000001,"195 Main St, Montgomery, AL",2026-02-25T11:50:38.641862,2026-02-26T11:50:38.641864,open,Sample 311 request 73,3
1074,graffiti,32.3647,-86.2762,"196 Main St, Montgomery, AL",2026-02-24T11:50:38.641867,2026-02-25T11:50:38.641870,in_progress,Sample 311 request 74,4
1075,trash,32.3657,-86.2752,"197 Main St, Montgomery, AL",2026-02-23T11:50:38.641873,2026-02-24T11:50:38.641875,closed,Sample 311 request 75,5
1076,flooding,32.3667,-86.27420000000001,"198 Main St, Montgomery, AL",2026-02-22T11:50:38.641879,2026-02-23T11:50:38.641881,open,Sample 311 request 76,6
1077,overgrown_grass,32.3677,-86.2732,"199 Main St, Montgomery, AL",2026-02-21T11:50:38.641885,2026-02-22T11:50:38.641887,in_progress,Sample 311 request 77,7
1078,other,32.3687,-86.2722,"200 Main St, Montgomery, AL",2026-02-20T11:50:38.641891,2026-02-21T11:50:38.641894,closed,Sample 311 request 78,1
1079,pothole,32.3697,-86.27120000000001,"201 Main St, Montgomery, AL",2026-02-19T11:50:38.641897,2026-02-20T11:50:38.641899,open,Sample 311 request 79,2
1080,graffiti,32.3707,-86.2702,"202 Main St, Montgomery, AL",2026-02-18T11:50:38.641906,2026-02-19T11:50:38.641908,in_progress,Sample 311 request 80,3
1081,trash,32.3617,-86.2792,"203 Main St, Montgomery, AL",2026-02-17T11:50:38.641912,2026-02-18T11:50:38.641914,closed,Sample 311 request 81,4
1082,flooding,32.3627,-86.2782,"204 Main St, Montgomery, AL",2026-02-16T11:50:38.641917,2026-02-17T11:50:38.641920,open,Sample 311 request 82,5
1083,overgrown_grass,32.3637,-86.27720000000001,"205 Main St, Montgomery, AL",2026-02-15T11:50:38.641923,2026-02-16T11:50:38.641926,in_progress,Sample 311 request 83,6
1084,other,32.3647,-86.2762,"206 Main St, Montgomery, AL",2026-02-14T11:50:38.641932,2026-02-15T11:50:38.641934,closed,Sample 311 request 84,7
1085,pothole,32.3657,-86.2752,"207 Main St, Montgomery, AL",2026-02-13T11:50:38.641938,2026-02-14T11:50:38.641940,open,Sample 311 request 85,1
1086,graffiti,32.3667,-86.27420000000001,"208 Main St, Montgomery, AL",2026-02-12T11:50:38.641944,2026-02-13T11:50:38.641946,in_progress,Sample 311 request 86,2
1087,trash,32.3677,-86.2732,"209 Main St, Montgomery, AL",2026-02-11T11:50:38.641950,2026-02-12T11:50:38.641952,closed,Sample 311 request 87,3
1088,flooding,32.3687,-86.2722,"210 Main St, Montgomery, AL",2026-02-10T11:50:38.641956,2026-02-11T11:50:38.641958,open,Sample 311 request 88,4
1089,overgrown_grass,32.3697,-86.27120000000001,"211 Main St, Montgomery, AL",2026-02-09T11:50:38.641961,2026-02-10T11:50:38.641964,in_progress,Sample 311 request 89,5
1090,other,32.3707,-86.2702,"212 Main St, Montgomery, AL",2026-02-08T11:50:38.641967,2026-02-09T11:50:38.641969,closed,Sample 311 request 90,6
1091,pothole,32.3617,-86.2792,"213 Main St, Montgomery, AL",2026-03-09T11:50:38.641973,2026-03-10T11:50:38.641975,open,Sample 311 request 91,7
1092,graffiti,32.3627,-86.2782,"214 Main St, Montgomery, AL",2026-03-08T11:50:38.641981,2026-03-09T11:50:38.641984,in_progress,Sample 311 request 92,1
1093,trash,32.3637,-86.27720000000001,"215 Main St, Montgomery, AL",2026-03-07T11:50:38.641990,2026-03-08T11:50:38.641993,closed,Sample 311 request 93,2
1094,flooding,32.3647,-86.2762,"216 Main St, Montgomery, AL",2026-03-06T11:50:38.641997,2026-03-07T11:50:38.641999,open,Sample 311 request 94,3
1095,overgrown_grass,32.3657,-86.2752,"217 Main St, Montgomery, AL",2026-03-05T11:50:38.642003,2026-03-06T11:50:38.642005,in_progress,Sample 311 request 95,4
1096,other,32.3667,-86.27420000000001,"218 Main St, Montgomery, AL",2026-03-04T11:50:38.642008,2026-03-05T11:50:38.642011,closed,Sample 311 request 96,5
1097,pothole,32.3677,-86.2732,"219 Main St, Montgomery, AL",2026-03-03T11:50:38.642014,2026-03-04T11:50:38.642017,open,Sample 311 request 97,6
1098,graffiti,32.3687,-86.2722,"220 Main St, Montgomery, AL",2026-03-02T11:50:38.642020,2026-03-03T11:50:38.642022,in_progress,Sample 311 request 98,7
1099,trash,32.3697,-86.27120000000001,"221 Main St, Montgomery, AL",2026-03-01T11:50:38.642026,2026-03-02T11:50:38.642028,closed,Sample 311 request 99,1
1100,flooding,32.3707,-86.2702,"222 Main St, Montgomery, AL",2026-02-28T11:50:38.642032,2026-03-01T11:50:38.642034,open,Sample 311 request 100,2
